time,yaw_master,Roll_master,Pitch_master,yaw_slave,Roll_slave,Pitch_slave,yaw_diff,Roll_diff,Pitch_diff,speed,limit_angle,limit_time
63770,359.20,0.36,-4.58,0.93,0.76,2.22,1.74,0.40,6.80,0.00,80.00,3.00
63798,359.12,0.32,-4.57,0.89,0.93,2.27,1.77,0.61,6.84,0.00,80.00,3.00
63824,359.06,0.28,-4.57,0.82,0.94,2.25,1.76,0.66,6.82,0.00,80.00,3.00
63850,358.97,0.25,-4.55,0.91,0.95,2.30,1.94,0.70,6.85,0.00,80.00,3.00
63875,358.99,0.22,-4.53,0.91,0.95,2.32,1.92,0.73,6.84,0.00,80.00,3.00
63914,359.00,0.17,-4.50,0.89,0.97,2.29,1.89,0.80,6.79,0.00,80.00,3.00
63940,359.09,0.12,-4.47,0.89,0.92,2.31,1.80,0.81,6.79,0.00,80.00,3.00
63966,359.14,0.06,-4.45,0.87,0.91,2.25,1.73,0.84,6.70,0.00,80.00,3.00
63994,359.21,0.01,-4.42,0.89,0.84,2.25,1.68,0.83,6.67,0.00,80.00,3.00
64020,359.18,-0.04,-4.40,0.89,0.79,2.32,1.71,0.84,6.72,0.00,80.00,3.00
64046,359.10,-0.10,-4.39,0.77,0.85,2.33,1.67,0.95,6.72,0.00,80.00,3.00
64071,358.97,-0.15,-4.38,0.81,0.84,2.29,1.83,0.99,6.67,0.00,80.00,3.00
64097,358.93,-0.19,-4.35,0.77,0.87,2.28,1.84,1.06,6.63,0.00,80.00,3.00
64123,358.87,-0.24,-4.32,0.75,0.89,2.35,1.88,1.13,6.67,0.00,80.00,3.00
64157,358.84,-0.27,-4.34,0.75,0.91,2.33,1.91,1.18,6.67,0.00,80.00,3.00
64186,358.82,-0.30,-4.35,0.78,0.95,2.29,1.96,1.25,6.64,0.00,80.00,3.00
64211,358.77,-0.33,-4.37,0.71,0.93,2.27,1.94,1.26,6.64,0.00,80.00,3.00
64237,358.77,-0.33,-4.42,0.74,0.90,2.31,1.96,1.24,6.74,0.00,80.00,3.00
64263,358.75,-0.38,-4.36,0.73,0.85,2.36,1.98,1.23,6.72,0.00,80.00,3.00
64288,358.75,-0.41,-4.33,0.73,0.84,2.30,1.98,1.25,6.63,0.00,80.00,3.00
64314,358.70,-0.46,-4.27,0.67,0.85,2.35,1.98,1.31,6.62,0.00,80.00,3.00
64340,358.68,-0.50,-4.25,0.66,0.84,2.33,1.99,1.34,6.58,0.00,80.00,3.00
64368,358.65,-0.70,-4.17,0.69,0.85,2.37,2.03,1.55,6.55,0.00,80.00,3.00
64394,359.39,-0.60,-3.04,0.72,0.86,2.32,1.34,1.46,5.35,0.00,80.00,3.00
64419,359.32,-0.68,-3.12,0.71,0.87,2.29,1.39,1.55,5.41,0.00,80.00,3.00
64445,359.39,-0.82,-2.93,0.75,0.88,2.29,1.36,1.71,5.23,0.00,80.00,3.00
64471,359.49,-0.95,-2.76,0.74,0.86,2.27,1.26,1.81,5.03,0.00,80.00,3.00
64496,359.39,-0.98,-2.83,0.73,0.82,2.30,1.34,1.80,5.12,0.00,80.00,3.00
64535,359.42,-1.08,-2.79,0.75,0.79,2.29,1.32,1.87,5.08,0.00,80.00,3.00
64564,359.41,-1.14,-2.76,0.70,0.77,2.36,1.29,1.92,5.12,0.00,80.00,3.00
64589,359.65,-1.23,-2.31,0.68,0.82,2.35,1.03,2.05,4.66,0.00,80.00,3.00
64615,359.66,-1.52,-2.35,0.56,0.86,2.39,0.90,2.38,4.74,0.00,80.00,3.00
64641,359.56,-1.31,-2.18,0.57,0.87,2.35,1.00,2.18,4.53,0.00,80.00,3.00
64666,359.38,-1.23,-2.65,0.63,0.88,2.38,1.26,2.10,5.02,0.00,80.00,3.00
64692,359.67,-1.31,-2.18,0.69,0.87,2.39,1.02,2.19,4.57,0.00,80.00,3.00
64718,359.88,-1.32,-1.91,0.65,0.90,2.40,0.77,2.23,4.31,0.00,80.00,3.00
64743,359.80,-1.30,-1.93,0.67,0.87,2.42,0.86,2.17,4.35,0.00,80.00,3.00
64772,359.72,-1.32,-2.00,0.81,0.87,2.39,1.09,2.20,4.39,0.00,80.00,3.00
64797,359.69,-1.33,-2.14,0.77,0.87,2.40,1.07,2.20,4.53,0.00,80.00,3.00
64823,359.71,-1.34,-2.16,0.77,0.90,2.39,1.06,2.24,4.56,0.00,80.00,3.00
64849,359.79,-1.35,-2.14,0.72,0.96,2.34,0.93,2.31,4.48,0.00,80.00,3.00
64874,359.78,-1.36,-2.09,0.74,0.92,2.34,0.96,2.28,4.42,0.00,80.00,3.00
64900,359.79,-1.36,-2.05,0.76,0.94,2.31,0.97,2.30,4.37,0.00,80.00,3.00
64925,359.73,-1.36,-2.06,0.74,0.91,2.31,1.01,2.27,4.37,0.00,80.00,3.00
64954,359.70,-1.35,-2.07,0.71,0.85,2.37,1.01,2.21,4.44,0.00,80.00,3.00
64979,359.61,-1.35,-2.10,0.68,0.88,2.34,1.06,2.23,4.44,0.00,80.00,3.00
65005,359.58,-1.31,-2.12,0.64,0.83,2.29,1.06,2.14,4.40,0.00,80.00,3.00
65031,359.55,-1.31,-2.10,0.59,0.82,2.28,1.04,2.13,4.38,0.00,80.00,3.00
65056,359.49,-1.26,-2.07,0.52,0.79,2.27,1.03,2.05,4.34,0.00,80.00,3.00
65082,359.53,-1.32,-2.04,0.55,0.79,2.29,1.02,2.11,4.33,0.00,80.00,3.00
65121,359.55,-1.30,-2.04,0.63,0.80,2.28,1.09,2.10,4.31,0.00,80.00,3.00
65150,359.57,-1.30,-2.04,0.67,0.78,2.32,1.10,2.08,4.36,0.00,80.00,3.00
65175,359.61,-1.31,-2.04,0.71,0.78,2.36,1.10,2.08,4.40,0.00,80.00,3.00
65201,359.66,-1.31,-2.04,0.76,0.78,2.39,1.09,2.09,4.43,0.00,80.00,3.00
65226,359.70,-1.31,-2.04,0.82,0.81,2.42,1.12,2.12,4.46,0.00,80.00,3.00
65252,359.72,-1.32,-2.03,0.89,0.84,2.43,1.17,2.15,4.46,0.00,80.00,3.00
65278,359.74,-1.32,-2.03,0.86,0.86,2.41,1.13,2.18,4.44,0.00,80.00,3.00
65303,359.76,-1.33,-2.03,0.86,0.92,2.33,1.10,2.24,4.36,0.00,80.00,3.00
65332,359.76,-1.33,-2.02,0.83,0.92,2.32,1.07,2.26,4.34,0.00,80.00,3.00
65357,359.77,-1.33,-2.03,0.82,0.93,2.34,1.05,2.26,4.37,0.00,80.00,3.00
65383,359.85,-1.33,-2.03,0.82,0.91,2.29,0.97,2.24,4.32,0.00,80.00,3.00
65408,359.93,-1.34,-2.03,0.68,0.90,2.24,0.75,2.24,4.27,0.00,80.00,3.00
65434,359.90,-1.34,-2.03,0.66,0.88,2.30,0.77,2.21,4.33,0.00,80.00,3.00
65460,359.89,-1.33,-2.04,0.68,0.85,2.36,0.79,2.18,4.39,0.00,80.00,3.00
65485,359.94,-1.32,-1.91,0.71,0.82,2.35,0.77,2.13,4.26,0.00,80.00,3.00
65514,0.04,-1.30,-1.62,0.75,0.83,2.34,0.70,2.13,3.96,0.00,80.00,3.00
65539,0.16,-1.29,-1.45,0.71,0.85,2.42,0.55,2.13,3.87,0.00,80.00,3.00
65565,0.20,-1.27,-1.35,0.84,0.88,2.46,0.63,2.14,3.81,0.00,80.00,3.00
65591,0.26,-1.27,-1.29,0.99,0.89,2.49,0.73,2.16,3.78,0.00,80.00,3.00
65625,0.31,-1.27,-1.24,0.98,0.90,2.46,0.66,2.17,3.69,0.00,80.00,3.00
65650,0.34,-1.27,-1.18,1.05,0.94,2.40,0.71,2.20,3.58,0.00,80.00,3.00
65676,0.40,-1.26,-1.13,1.11,0.93,2.43,0.71,2.19,3.56,0.00,80.00,3.00
65718,0.49,-1.26,-1.09,1.19,0.95,2.36,0.71,2.21,3.45,0.00,80.00,3.00
65743,0.52,-1.26,-1.06,1.15,1.18,2.36,0.63,2.43,3.42,0.00,80.00,3.00
65769,0.50,-1.26,-1.03,1.01,1.50,2.33,0.52,2.76,3.37,0.00,80.00,3.00
65794,0.60,-1.26,-1.01,0.99,1.65,2.09,0.38,2.91,3.10,0.00,80.00,3.00
65820,0.56,-1.25,-1.00,0.98,1.72,1.98,0.42,2.97,2.98,0.00,80.00,3.00
65845,0.63,-1.25,-1.00,0.98,1.79,2.04,0.35,3.04,3.04,0.00,80.00,3.00
65871,0.62,-1.25,-1.00,0.82,1.85,2.08,0.19,3.11,3.08,0.00,80.00,3.00
65897,0.61,-1.25,-1.01,0.85,1.66,2.08,0.24,2.91,3.08,0.00,80.00,3.00
65925,0.65,-1.26,-1.01,0.93,1.24,2.00,0.27,2.50,3.00,0.00,80.00,3.00
65951,0.63,-1.25,-1.01,0.89,0.97,2.33,0.25,2.22,3.34,0.00,80.00,3.00
65976,0.71,-1.25,-1.02,0.74,0.91,2.37,0.04,2.16,3.38,0.00,80.00,3.00
66002,0.66,-1.25,-1.02,0.66,0.85,2.33,0.00,2.09,3.35,0.00,80.00,3.00
66027,0.65,-1.25,-1.02,0.66,0.78,2.34,0.01,2.02,3.36,0.00,80.00,3.00
66053,0.58,-1.25,-1.03,0.69,0.74,2.34,0.10,1.98,3.37,0.00,80.00,3.00
66079,0.57,-1.25,-1.05,0.63,0.77,2.33,0.06,2.02,3.37,0.00,80.00,3.00
66107,0.59,-1.25,-1.05,0.62,0.80,2.34,0.03,2.05,3.39,0.00,80.00,3.00
66133,0.54,-1.24,-1.06,0.70,0.81,2.38,0.16,2.05,3.44,0.00,80.00,3.00
66158,0.51,-1.25,-1.07,0.77,0.78,2.47,0.25,2.03,3.54,0.00,80.00,3.00
66184,0.50,-1.25,-1.07,0.76,0.78,2.36,0.26,2.03,3.43,0.00,80.00,3.00
66209,0.46,-1.24,-1.07,0.72,0.78,2.29,0.25,2.02,3.36,0.00,80.00,3.00
66235,0.44,-1.24,-1.06,0.73,0.76,2.25,0.29,2.00,3.31,0.00,80.00,3.00
66261,0.45,-1.23,-1.06,0.72,0.74,2.25,0.27,1.97,3.31,0.00,80.00,3.00
66289,0.49,-1.23,-1.05,0.81,0.73,2.23,0.33,1.96,3.28,0.00,80.00,3.00
66328,0.50,-1.23,-1.04,0.80,0.71,2.19,0.30,1.94,3.23,0.00,80.00,3.00
66354,0.53,-1.23,-1.04,0.81,0.79,2.13,0.28,2.02,3.16,0.00,80.00,3.00
66379,0.53,-1.23,-1.04,0.83,0.81,2.27,0.31,2.04,3.31,0.00,80.00,3.00
66405,0.56,-1.18,-0.97,0.81,0.86,2.24,0.25,2.04,3.21,0.00,80.00,3.00
66430,0.63,-1.17,-0.84,0.85,0.79,2.28,0.22,1.96,3.12,0.00,80.00,3.00
66456,0.62,-1.17,-0.73,0.90,0.87,2.19,0.28,2.04,2.93,0.00,80.00,3.00
66481,0.61,-1.16,-0.64,0.80,0.94,2.18,0.19,2.10,2.82,0.00,80.00,3.00
66510,0.61,-1.16,-0.59,0.73,0.98,2.12,0.11,2.14,2.70,0.00,80.00,3.00
66535,0.63,-1.16,-0.54,0.74,0.91,2.15,0.10,2.07,2.69,0.00,80.00,3.00
66561,0.56,-1.16,-0.52,0.81,0.95,2.22,0.25,2.11,2.74,0.00,80.00,3.00
66586,0.57,-1.16,-0.50,0.76,1.02,2.27,0.20,2.18,2.78,0.00,80.00,3.00
66612,0.53,-1.16,-0.48,0.72,0.91,2.44,0.19,2.07,2.92,0.00,80.00,3.00
66637,0.50,-1.16,-0.47,0.78,0.94,2.56,0.28,2.09,3.03,0.00,80.00,3.00
66663,0.53,-1.16,-0.48,0.92,0.85,2.89,0.39,2.00,3.38,0.00,80.00,3.00
66691,0.48,-1.16,-0.48,0.92,0.76,3.03,0.44,1.92,3.50,0.00,80.00,3.00
66717,0.46,-1.16,-0.47,0.87,0.69,3.06,0.41,1.86,3.53,0.00,80.00,3.00
66743,0.44,-1.16,-0.47,0.85,0.68,2.98,0.41,1.84,3.44,0.00,80.00,3.00
66768,0.42,-1.15,-0.47,0.95,0.73,2.93,0.53,1.89,3.40,0.00,80.00,3.00
66794,0.40,-1.16,-0.46,0.97,0.82,2.74,0.57,1.98,3.20,0.00,80.00,3.00
66819,0.40,-1.17,-0.58,0.95,0.76,2.48,0.55,1.93,3.06,0.00,80.00,3.00
66845,0.28,-1.19,-0.87,0.89,0.88,2.18,0.61,2.07,3.05,0.00,80.00,3.00
66873,0.20,-1.20,-1.03,0.89,0.98,2.13,0.69,2.19,3.16,0.00,80.00,3.00
66912,0.12,-1.23,-1.12,0.95,0.99,2.14,0.82,2.21,3.26,0.00,80.00,3.00
66937,0.07,-1.23,-1.18,0.87,0.96,2.16,0.80,2.19,3.34,0.00,80.00,3.00
66963,0.03,-1.22,-1.23,0.79,0.91,2.21,0.75,2.13,3.45,0.00,80.00,3.00
66989,0.07,-1.22,-1.28,0.78,0.92,2.21,0.71,2.14,3.49,0.00,80.00,3.00
67014,359.96,-1.23,-1.33,0.77,0.89,2.26,0.81,2.12,3.59,0.00,80.00,3.00
67040,359.96,-1.23,-1.37,0.66,0.82,2.27,0.70,2.05,3.64,0.00,80.00,3.00
67077,359.87,-1.22,-1.40,0.61,0.80,2.24,0.74,2.03,3.64,0.00,80.00,3.00
67102,359.85,-1.22,-1.42,0.67,0.82,2.26,0.82,2.03,3.68,0.00,80.00,3.00
67128,359.73,-1.22,-1.43,0.73,0.82,2.27,1.00,2.04,3.70,0.00,80.00,3.00
67154,359.69,-1.22,-1.44,0.72,0.86,2.31,1.03,2.09,3.74,0.00,80.00,3.00
67179,359.63,-1.22,-1.43,0.76,0.87,2.34,1.13,2.09,3.77,0.00,80.00,3.00
67205,359.65,-1.22,-1.42,0.84,0.90,2.38,1.19,2.12,3.80,0.00,80.00,3.00
67230,359.72,-1.22,-1.41,0.95,0.98,2.29,1.22,2.20,3.71,0.00,80.00,3.00
67256,359.74,-1.22,-1.41,0.85,0.99,2.28,1.11,2.21,3.69,0.00,80.00,3.00
67284,359.82,-1.22,-1.40,0.83,1.01,2.29,1.02,2.24,3.69,0.00,80.00,3.00
67310,359.83,-1.22,-1.40,0.88,0.99,2.31,1.05,2.21,3.70,0.00,80.00,3.00
67336,359.93,-1.22,-1.39,0.87,0.99,2.30,0.94,2.21,3.69,0.00,80.00,3.00
67361,359.94,-1.22,-1.40,0.90,1.00,2.26,0.96,2.22,3.66,0.00,80.00,3.00
67387,0.03,-1.21,-1.39,0.86,0.98,2.29,0.83,2.19,3.68,0.00,80.00,3.00
67412,0.03,-1.21,-1.39,0.90,0.99,2.28,0.87,2.20,3.67,0.00,80.00,3.00
67438,0.04,-1.21,-1.38,0.93,0.98,2.33,0.89,2.19,3.71,0.00,80.00,3.00
67466,0.09,-1.21,-1.37,0.84,0.99,2.36,0.74,2.20,3.73,0.00,80.00,3.00
67492,0.12,-1.21,-1.37,0.83,0.93,2.36,0.72,2.14,3.73,0.00,80.00,3.00
67531,0.13,-1.21,-1.36,0.84,0.97,2.34,0.70,2.18,3.71,0.00,80.00,3.00
67556,0.15,-1.20,-1.36,0.78,0.92,2.38,0.63,2.12,3.74,0.00,80.00,3.00
67582,0.10,-1.21,-1.36,0.77,0.89,2.40,0.67,2.10,3.77,0.00,80.00,3.00
67607,0.03,-1.22,-1.36,0.71,0.88,2.40,0.68,2.10,3.76,0.00,80.00,3.00
67633,0.06,-1.23,-1.35,0.78,0.87,2.33,0.72,2.10,3.68,0.00,80.00,3.00
67661,0.12,-1.22,-1.36,0.81,0.91,2.34,0.69,2.14,3.70,0.00,80.00,3.00
67687,0.04,-1.22,-1.36,0.82,0.93,2.36,0.79,2.15,3.72,0.00,80.00,3.00
67712,0.06,-1.22,-1.35,0.88,0.97,2.39,0.81,2.19,3.74,0.00,80.00,3.00
67738,0.11,-1.26,-1.41,0.94,1.03,2.38,0.84,2.29,3.80,0.00,80.00,3.00
67763,0.07,-1.27,-1.54,1.02,1.00,2.38,0.95,2.27,3.92,0.00,80.00,3.00
67789,359.98,-1.27,-1.65,0.90,1.06,2.34,0.92,2.33,3.99,0.00,80.00,3.00
67814,0.00,-1.28,-1.74,0.97,1.04,2.33,0.97,2.32,4.07,0.00,80.00,3.00
67843,359.99,-1.27,-1.79,1.05,0.96,2.30,1.06,2.23,4.09,0.00,80.00,3.00
67868,360.00,-1.27,-1.83,1.06,0.95,2.29,1.06,2.22,4.12,0.00,80.00,3.00
67894,0.07,-1.27,-1.86,1.02,0.89,2.29,0.95,2.16,4.14,0.00,80.00,3.00
67919,0.08,-1.27,-1.87,0.96,0.88,2.26,0.88,2.15,4.13,0.00,80.00,3.00
67945,0.07,-1.27,-1.88,1.05,0.90,2.25,0.98,2.17,4.13,0.00,80.00,3.00
67971,0.05,-1.26,-1.89,1.04,0.87,2.30,0.99,2.13,4.20,0.00,80.00,3.00
67996,0.03,-1.26,-1.88,0.96,0.91,2.33,0.93,2.17,4.22,0.00,80.00,3.00
68022,0.05,-1.26,-1.88,0.89,0.95,2.34,0.84,2.20,4.22,0.00,80.00,3.00
68050,0.09,-1.25,-1.88,0.86,0.97,2.35,0.76,2.22,4.23,0.00,80.00,3.00
68076,0.12,-1.26,-1.88,0.89,1.00,2.37,0.76,2.25,4.25,0.00,80.00,3.00
68115,0.17,-1.26,-1.88,0.78,0.91,2.39,0.60,2.17,4.26,0.00,80.00,3.00
68140,0.22,-1.26,-1.87,0.79,0.89,2.40,0.57,2.14,4.27,0.00,80.00,3.00
68166,0.22,-1.25,-1.87,0.80,0.90,2.38,0.58,2.16,4.25,0.00,80.00,3.00
68191,0.26,-1.26,-1.86,0.78,0.88,2.43,0.52,2.14,4.29,0.00,80.00,3.00
68217,0.25,-1.26,-1.86,0.84,0.87,2.41,0.59,2.13,4.27,0.00,80.00,3.00
68245,0.24,-1.26,-1.85,0.82,0.87,2.38,0.58,2.13,4.23,0.00,80.00,3.00
68271,0.24,-1.27,-1.85,0.85,0.89,2.33,0.60,2.15,4.18,0.00,80.00,3.00
68296,0.27,-1.27,-1.85,0.87,0.95,2.29,0.61,2.22,4.14,0.00,80.00,3.00
68322,0.25,-1.28,-1.85,0.80,0.96,2.26,0.54,2.24,4.11,0.00,80.00,3.00
68347,0.30,-1.27,-1.84,0.84,0.93,2.17,0.54,2.20,4.01,0.00,80.00,3.00
68373,0.24,-1.27,-1.84,0.80,0.88,2.24,0.56,2.16,4.08,0.00,80.00,3.00
68398,0.24,-1.27,-1.84,0.83,0.90,2.28,0.58,2.17,4.12,0.00,80.00,3.00
68427,0.28,-1.28,-1.84,0.76,0.90,2.32,0.48,2.18,4.16,0.00,80.00,3.00
68452,0.35,-1.28,-1.84,0.76,0.91,2.36,0.41,2.19,4.20,0.00,80.00,3.00
68478,0.40,-1.27,-1.84,0.79,0.92,2.42,0.39,2.19,4.26,0.00,80.00,3.00
68503,0.37,-1.28,-1.86,0.78,1.00,2.45,0.42,2.28,4.30,0.00,80.00,3.00
68537,0.34,-1.28,-1.86,0.77,0.99,2.49,0.43,2.27,4.35,0.00,80.00,3.00
68563,0.26,-1.28,-1.86,0.79,1.00,2.43,0.54,2.28,4.29,0.00,80.00,3.00
68588,0.24,-1.27,-1.87,0.84,1.02,2.41,0.60,2.29,4.29,0.00,80.00,3.00
68614,0.25,-1.27,-1.87,0.94,0.96,2.40,0.69,2.23,4.27,0.00,80.00,3.00
68642,0.25,-1.27,-1.86,0.83,0.92,2.42,0.58,2.19,4.28,0.00,80.00,3.00
68668,0.22,-1.27,-1.86,0.86,0.90,2.46,0.63,2.17,4.31,0.00,80.00,3.00
68693,0.22,-1.27,-1.84,0.86,0.88,2.43,0.64,2.16,4.27,0.00,80.00,3.00
68732,0.20,-1.28,-1.83,0.92,0.88,2.43,0.72,2.16,4.26,0.00,80.00,3.00
68758,0.25,-1.27,-1.83,0.79,0.89,2.46,0.54,2.17,4.29,0.00,80.00,3.00
68783,0.29,-1.29,-1.83,0.73,0.87,2.46,0.44,2.16,4.29,0.00,80.00,3.00
68809,0.26,-1.29,-1.83,0.75,0.87,2.43,0.49,2.16,4.26,0.00,80.00,3.00
68837,0.20,-1.28,-1.83,0.79,0.88,2.41,0.59,2.16,4.25,0.00,80.00,3.00
68862,0.08,-1.28,-1.84,0.83,0.88,2.37,0.75,2.16,4.21,0.00,80.00,3.00
68888,0.13,-1.29,-1.83,0.76,0.92,2.41,0.64,2.20,4.24,0.00,80.00,3.00
68913,0.18,-1.28,-1.83,0.88,0.93,2.36,0.70,2.21,4.19,0.00,80.00,3.00
68938,0.22,-1.28,-1.83,0.91,0.94,2.35,0.69,2.22,4.17,0.00,80.00,3.00
68964,0.16,-1.26,-1.83,0.94,0.97,2.35,0.78,2.23,4.18,0.00,80.00,3.00
68989,0.16,-1.27,-1.83,0.96,0.91,2.40,0.80,2.18,4.23,0.00,80.00,3.00
69017,0.19,-1.27,-1.83,0.90,0.88,2.38,0.71,2.14,4.21,0.00,80.00,3.00
69042,0.17,-1.27,-1.84,0.87,0.85,2.34,0.70,2.13,4.18,0.00,80.00,3.00
69067,0.09,-1.28,-1.84,0.80,0.81,2.41,0.71,2.09,4.26,0.00,80.00,3.00
69093,0.07,-1.29,-1.84,0.69,0.84,2.43,0.62,2.13,4.27,0.00,80.00,3.00
69118,0.13,-1.29,-1.84,0.70,0.85,2.42,0.56,2.14,4.26,0.00,80.00,3.00
69143,0.15,-1.30,-1.83,0.66,0.88,2.36,0.51,2.18,4.19,0.00,80.00,3.00
69168,0.14,-1.30,-1.84,0.55,0.91,2.34,0.41,2.21,4.18,0.00,80.00,3.00
69197,0.16,-1.30,-1.83,0.62,0.91,2.33,0.46,2.22,4.16,0.00,80.00,3.00
69222,0.11,-1.31,-1.82,0.64,0.88,2.28,0.52,2.19,4.11,0.00,80.00,3.00
69248,0.12,-1.30,-1.82,0.68,0.91,2.30,0.56,2.21,4.12,0.00,80.00,3.00
69274,0.14,-1.30,-1.82,0.74,0.96,2.33,0.60,2.26,4.15,0.00,80.00,3.00
69313,0.16,-1.31,-1.81,0.73,0.91,2.35,0.57,2.22,4.16,0.00,80.00,3.00
69339,0.11,-1.31,-1.81,0.80,0.89,2.36,0.68,2.20,4.17,0.00,80.00,3.00
69364,0.13,-1.30,-1.81,0.88,0.88,2.41,0.75,2.18,4.23,0.00,80.00,3.00
69390,0.07,-1.30,-1.81,0.88,0.91,2.41,0.82,2.21,4.21,0.00,80.00,3.00
69419,0.07,-1.30,-1.80,0.92,0.89,2.39,0.85,2.19,4.19,0.00,80.00,3.00
69444,0.06,-1.31,-1.80,0.95,0.88,2.33,0.89,2.18,4.12,0.00,80.00,3.00
69470,0.09,-1.31,-1.80,0.93,0.86,2.37,0.84,2.17,4.16,0.00,80.00,3.00
69496,0.04,-1.30,-1.80,0.95,0.92,2.45,0.91,2.23,4.25,0.00,80.00,3.00
69521,0.02,-1.31,-1.81,0.94,0.89,2.45,0.93,2.20,4.25,0.00,80.00,3.00
69547,0.05,-1.30,-1.81,0.92,0.87,2.40,0.88,2.17,4.21,0.00,80.00,3.00
69573,0.07,-1.29,-1.82,0.90,0.87,2.41,0.83,2.17,4.22,0.00,80.00,3.00
69601,0.08,-1.29,-1.82,0.92,0.90,2.39,0.84,2.19,4.21,0.00,80.00,3.00
69627,0.04,-1.28,-1.82,0.86,0.94,2.33,0.82,2.22,4.16,0.00,80.00,3.00
69653,359.94,-1.28,-1.84,0.84,0.93,2.24,0.91,2.21,4.08,0.00,80.00,3.00
69678,359.91,-1.28,-1.84,0.82,0.93,2.24,0.91,2.21,4.08,0.00,80.00,3.00
69704,359.95,-1.29,-1.84,0.87,0.91,2.32,0.93,2.20,4.16,0.00,80.00,3.00
69730,0.05,-1.28,-1.83,0.82,0.93,2.35,0.77,2.21,4.18,0.00,80.00,3.00
69755,0.08,-1.29,-1.83,0.80,0.92,2.36,0.71,2.21,4.19,0.00,80.00,3.00
69784,360.00,-1.29,-1.83,0.78,0.89,2.34,0.78,2.18,4.17,0.00,80.00,3.00
69809,359.98,-1.29,-1.84,0.82,0.91,2.38,0.83,2.20,4.21,0.00,80.00,3.00
