time,yaw_master,Roll_master,Pitch_master,yaw_slave,Roll_slave,Pitch_slave,yaw_diff,Roll_diff,Pitch_diff,speed,limit_angle,limit_time
62874,0.00,0.81,-4.03,0.00,0.97,2.23,0.00,0.16,6.26,0.00,80.00,3.00
62899,0.00,0.85,-3.76,0.00,0.97,2.24,0.00,0.13,6.00,0.00,80.00,3.00
62925,0.00,0.93,-3.59,0.00,0.99,2.25,0.00,0.06,5.85,0.00,80.00,3.00
62950,0.00,0.89,-3.35,0.00,1.00,2.26,0.00,0.11,5.61,0.00,80.00,3.00
62975,0.00,0.88,-3.13,0.00,1.00,2.27,0.00,0.13,5.40,0.00,80.00,3.00
63000,0.00,0.86,-2.86,0.00,1.01,2.27,0.00,0.15,5.14,0.00,80.00,3.00
63029,0.00,1.00,-2.95,0.00,1.00,2.29,0.00,0.01,5.24,0.00,80.00,3.00
63054,0.00,0.84,-4.09,0.00,1.00,2.32,0.00,0.16,6.41,0.00,80.00,3.00
63080,0.00,0.86,-4.01,0.00,1.00,2.33,0.00,0.14,6.34,0.00,80.00,3.00
63106,0.00,0.96,-4.20,0.00,0.99,2.33,0.00,0.03,6.53,0.00,80.00,3.00
63132,0.00,1.04,-4.36,0.00,0.89,2.35,0.00,0.15,6.71,0.00,80.00,3.00
63157,0.00,1.02,-4.30,0.00,0.86,2.33,0.00,0.16,6.63,0.00,80.00,3.00
63183,0.00,1.07,-4.33,0.00,0.85,2.40,0.00,0.22,6.74,0.00,80.00,3.00
63211,0.00,1.11,-4.33,0.00,0.83,2.45,0.00,0.28,6.78,0.00,80.00,3.00
63237,0.00,1.16,-4.76,0.00,0.85,2.49,0.00,0.32,7.25,0.00,80.00,3.00
63263,359.89,1.43,-4.76,359.92,0.85,2.45,0.03,0.58,7.20,0.00,80.00,3.00
63288,359.84,1.20,-4.96,359.82,0.74,2.49,0.02,0.46,7.44,0.00,80.00,3.00
63327,359.92,1.08,-4.53,359.79,0.46,2.63,0.13,0.62,7.16,0.00,80.00,3.00
63353,359.64,1.11,-4.94,359.80,0.63,2.56,0.16,0.48,7.50,0.00,80.00,3.00
63379,359.44,1.07,-5.17,359.80,0.61,2.49,0.36,0.46,7.66,0.00,80.00,3.00
63405,359.52,1.00,-5.08,359.81,0.56,2.48,0.29,0.44,7.57,0.00,80.00,3.00
63433,359.51,0.96,-4.97,359.80,0.37,2.48,0.29,0.60,7.45,0.00,80.00,3.00
63459,359.52,0.91,-4.74,0.03,0.36,2.40,0.51,0.55,7.14,0.00,80.00,3.00
63485,359.50,0.87,-4.62,0.22,0.83,2.21,0.72,0.04,6.83,0.00,80.00,3.00
63510,359.40,0.83,-4.59,0.29,0.58,2.26,0.89,0.25,6.85,0.00,80.00,3.00
63536,359.31,0.79,-4.60,0.42,0.50,2.30,1.11,0.30,6.90,0.00,80.00,3.00
63562,359.29,0.75,-4.59,0.69,0.38,2.30,1.40,0.37,6.90,0.00,80.00,3.00
63587,359.29,0.70,-4.54,0.89,0.55,2.31,1.59,0.15,6.85,0.00,80.00,3.00
63616,359.30,0.65,-4.53,0.96,0.33,2.34,1.66,0.32,6.87,0.00,80.00,3.00
63642,359.35,0.60,-4.49,0.96,0.26,2.31,1.61,0.34,6.80,0.00,80.00,3.00
63667,359.37,0.51,-4.47,1.02,0.40,2.27,1.65,0.11,6.74,0.00,80.00,3.00
63693,359.38,0.47,-4.50,1.01,0.44,2.18,1.62,0.03,6.68,0.00,80.00,3.00
63718,359.37,0.39,-4.55,1.02,0.51,2.19,1.65,0.13,6.73,0.00,80.00,3.00
63744,359.24,0.41,-4.58,0.94,0.61,2.20,1.70,0.20,6.78,0.00,80.00,3.00
